title,artist,genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Stuck On You,Giveon,r&b,158,45,60,-7,11,14,205,16,5,68
Irrational,Shay Lia,r&b,98,70,76,-6,6,50,169,62,9,56
Treat,0.465972222,r&b,94,41,70,-10,11,81,167,41,9,50
Damage,H.E.R.,r&b,81,70,65,-7,12,18,223,11,7,73
Cupid's Curse (feat. Kehlani),Phora,r&b,111,40,69,-10,15,54,213,70,6,68
Silver Tongue Devil (feat. Shenseea),Masego,r&b,102,65,79,-9,10,70,198,51,9,62
Hold On,H.E.R.,r&b,120,54,46,-5,15,19,203,45,5,65
You Trippin,Devvon Terrell,r&b,152,83,57,-6,15,54,146,5,11,46
Baby,Brandon,r&b,76,25,64,-10,40,42,112,88,8,54
Mine,Alex Isley,r&b,67,40,35,-9,13,13,213,83,6,47
Thank My Exes,Devvon Terrell,r&b,140,74,61,-5,35,59,182,16,11,45
Mr. Midnight,Raheem DeVaughn,r&b,160,59,74,-9,9,68,264,40,13,40
SURF (feat. Masego),Xavier Omär,r&b,166,57,60,-7,10,31,202,11,35,57
Between The Lines,Gwen Bunn,r&b,104,48,51,-8,30,23,223,10,4,48
"Your Turn (feat. Musiq Soulchild, Tish Hyman & 6LACK)",Ty Dolla $ign,r&b,146,39,53,-9,11,25,320,18,5,65
You Send Me,Vivian Green,r&b,126,70,53,-7,12,40,229,27,7,48
All In You,Luh Kel,r&b,167,73,55,-6,13,24,143,5,4,53
All About You,Leon Bridges,r&b,122,45,75,-9,30,27,180,12,6,66
Self Love,Savannah Cristina,r&b,122,51,79,-9,11,41,158,58,12,44
Damn,Baby Rose,r&b,140,55,43,-8,12,46,174,79,5,55
Two Ways,Trey Songz,r&b,160,46,68,-8,11,29,201,5,13,57
Black Woman,Emanuel,r&b,141,15,38,-11,12,22,238,95,3,54
Do You Well,Omarion,r&b,160,67,72,-8,11,72,168,8,27,43
High & Dry,VanJess,r&b,140,50,79,-9,11,48,159,48,24,49
Vote - as featured on ABC’s black-ish,Jhené Aiko,r&b,147,55,60,-11,10,64,104,61,41,51
One Thing Missing,Eric Bellinger,r&b,120,48,66,-8,11,26,192,57,18,50
Passport - ?????,Masego,r&b,94,27,51,-11,19,56,182,69,16,62
HMU,Sevyn Streeter,r&b,82,70,76,-7,8,55,154,37,5,56
On and On,THEY.,r&b,88,82,56,-5,19,49,232,24,4,59
Involved,Omarion,r&b,107,48,76,-6,11,32,184,21,22,55
Home Vacation (FamilyOverEverything),Salaam Remi,r&b,63,27,33,-11,10,6,131,54,3,46
Only Fan. (with Jacquees),Kiana Ledé,r&b,140,52,43,-9,7,48,221,31,7,60
Stars In The Sky (feat. Jhené Aiko),Phora,r&b,96,42,64,-11,11,35,253,50,3,66
Lie To Me,Queen Naija,r&b,173,72,52,-5,9,66,193,31,38,64
Organic,Eric Bellinger,r&b,98,60,49,-7,10,48,198,28,39,55
That’s Real (feat. A Boogie Wit da Hoodie),Ayanis,r&b,96,65,73,-8,39,33,181,1,8,48
HBK,Sainvil,r&b,170,63,67,-6,32,20,269,21,27,44
Losing Focus (with Wale),THEY.,r&b,92,87,72,-4,8,73,213,26,7,65
Touch Me (feat. Kehlani) - Remix,Victoria Monét,r&b,137,58,42,-9,13,53,188,82,13,62
Kissez,Sevyn Streeter,r&b,100,65,68,-6,28,63,148,15,16,52
FOMO,Gemaine,r&b,158,71,74,-6,7,67,198,21,7,41
Like I Feel (feat. Mereba),Xavier Omär,r&b,138,53,70,-11,11,60,227,55,6,59
Chocolate Pomegranate,Ari Lennox,r&b,176,37,54,-12,12,21,248,18,5,63
First Day Out (with Smoke DZA),Abby Jasmine,r&b,162,72,53,-3,11,71,191,57,28,42
Gravity,Eric Bellinger,r&b,180,49,47,-10,12,68,171,68,17,50
Pretty,Col3trane,r&b,178,34,60,-13,11,43,167,86,6,61
A Moment,RILEY,r&b,90,24,53,-8,11,37,196,94,3,54
Solid,Savannah Ré,r&b,60,50,64,-6,9,36,220,18,3,41
Pretty Mouth Magick,Mario,r&b,146,49,77,-8,20,37,177,24,7,54
Wishlist (feat. PJ Morton),JoJo,r&b,140,39,56,-6,11,38,238,85,3,39
Tyler Herro,Jack Harlow,hip hop,123,76,79,-7,25,78,156,11,14,84
Whoopty,CJ,hip hop,140,61,71,-8,13,78,123,19,17,83
Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,hip hop,130,34,93,-10,16,75,170,6,10,81
Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],Internet Money,hip hop,140,55,83,-8,11,38,181,17,6,79
Onna Come Up,Lil Eazzyy,hip hop,150,43,80,-13,9,65,128,36,28,78
You’re Mines Still (feat. Drake),Yung Bleu,hip hop,83,61,57,-5,11,34,226,32,12,77
When You Down (with Polo G feat. Lil Durk),Lil Tecca,hip hop,76,63,51,-7,13,31,193,24,38,76
Throat Baby (Go Baby),BRS Kash,hip hop,132,52,90,-7,10,21,218,1,15,75
Back to the Streets (feat. Jhené Aiko),Saweetie,hip hop,102,79,87,-4,11,56,189,17,7,75
Whole Lotta Choppas (Remix) [feat. Nicki Minaj],Sada Baby,hip hop,128,72,96,-3,12,28,174,0,17,75
hooligan,Baby Keem,hip hop,93,64,77,-8,12,41,157,20,9,73
Revenge,$NOT,hip hop,96,62,83,-7,10,35,148,29,20,72
"Lost Me (feat. Lil Mosey, iann dior & Lil Skies)",Internet Money,hip hop,90,70,69,-7,8,38,178,16,4,71
Mean,$NOT,hip hop,100,73,84,-8,9,61,125,25,29,71
BookBag 2.0 (feat. Polo G),BigKayBeezy,hip hop,135,54,91,-6,9,82,171,32,50,70
Tip Toe,Sheff G,hip hop,130,62,85,-7,19,80,181,58,33,70
The Code (feat. Polo G),King Von,hip hop,133,62,83,-8,12,57,202,6,34,69
Diamond Choker,Lil Gnar,hip hop,130,43,92,-13,4,68,155,10,39,69
Baggin',Marshmello,hip hop,156,53,78,-7,11,38,197,24,45,69
Bop It (feat. Polo G),Fivio Foreign,hip hop,145,61,84,-7,31,26,149,0,35,68
Letter 2 U,J.I the Prince of N.Y,hip hop,91,47,58,-11,11,22,171,67,27,67
I Am What I Am (feat. Fivio Foreign),King Von,hip hop,141,68,80,-6,12,42,218,8,29,67
MAD,2KBABY,hip hop,80,47,56,-6,24,20,190,7,34,67
Don't Need Time - Remix,Hotboii,hip hop,102,63,78,-5,13,62,184,34,17,67
Coochie Land,YN Jay,hip hop,97,51,53,-11,11,36,185,43,6,66
Lets Link (feat. Tyga & Lil Mosey),WhoHeem,hip hop,120,70,87,-8,9,59,216,2,12,65
SAME HANDS (feat. Lil Durk),BIA,hip hop,150,61,88,-7,11,32,206,7,25,65
Like Me (feat. iann dior),$NOT,hip hop,104,46,90,-8,9,65,167,19,10,64
While I'm Here (feat. Polo G),Lil Loaded,hip hop,77,88,68,-6,30,56,209,0,7,63
Demon,King Von,hip hop,140,69,79,-8,17,36,134,16,25,62
Window Shopping (feat. Lil Baby),FRVRFRIDAY,hip hop,98,67,81,-7,7,50,161,29,13,62
"Memphis, Pt. 2 (feat. NLE Choppa and A$AP Ferg)",AG Club,hip hop,149,66,70,-8,20,35,224,29,40,62
Black Mask (feat. Pop Smoke),Jay Gwuapo,hip hop,144,67,82,-7,39,26,150,4,23,62
Mrs. Whoever,Saba,hip hop,84,54,66,-12,12,39,172,33,38,62
My City,ONEFOUR,hip hop,130,47,87,-8,10,19,172,3,34,61
Sangria (feat. Denzel Curry),$NOT,hip hop,100,67,88,-8,13,51,126,6,30,61
Keep Your Distance,Ameer Vann,hip hop,150,53,81,-6,10,43,119,5,26,61
Favorite Ni**a,REASON,hip hop,142,57,64,-8,52,43,125,13,77,61
Racin' (feat. Lil Tjay),KJ Balla,hip hop,143,73,79,-4,19,64,186,11,30,61
All White,Young Nudy,hip hop,137,49,93,-9,9,31,211,6,33,60
For Me,CHASE B,hip hop,133,50,90,-8,8,14,202,1,32,59
No Love Lost,Blxst,hip hop,139,56,66,-6,18,37,106,65,48,59
Mine Too,King Von,hip hop,154,69,80,-8,8,82,175,8,39,59
Solid (feat. 42 Dugg),Yella Beezy,hip hop,125,88,98,-5,5,76,225,3,30,59
"SoIcyBoyz 2 (feat. Pooh Shiesty, Foogiano & Tay Keith)",Big Scarr,hip hop,125,65,96,-6,22,69,190,9,26,59
It's Whatever (feat. Future),K$upreme,hip hop,150,62,73,-6,10,22,179,4,24,59
Met In LA,Toosii,hip hop,113,47,61,-10,8,51,136,4,27,58
Tweakin (feat. Future),Doe Boy,hip hop,76,50,84,-6,9,43,183,10,31,57
No Relay,9lokknine,hip hop,155,60,83,-8,28,77,140,2,39,57
Hands On Ya Knees (feat. Kevin Gates),Renni Rucci,hip hop,92,76,70,-7,38,63,141,33,20,56
Student Loans,tobi lou,hip hop,152,67,68,-9,12,72,125,51,19,56
STACKHOUSE,Melvoni,hip hop,121,58,80,-7,6,37,163,10,7,55
Big Homie (feat. 2 Chainz),Symba,hip hop,142,59,69,-7,31,24,203,26,26,55
Way Too Soft,Melii,hip hop,168,64,79,-5,10,38,137,2,26,55
Get In feat. Stunna 4 Vegas,Kalan.FrFr,hip hop,130,52,87,-7,13,46,203,7,34,55
Gun Smoke,Stunna 4 Vegas,hip hop,140,81,93,-6,14,83,137,16,31,55
Demons,StaySolidRocky,hip hop,138,56,87,-8,10,73,195,11,7,54
Shining (feat. 42 Dugg),LBS Kee'vin,hip hop,128,52,96,-8,9,81,128,2,46,54
Flute (with Rich The Kid),Brokeasf,hip hop,100,50,93,-11,9,70,178,15,34,53
Blow It (feat. Foogiano),Big Scarr,hip hop,127,60,86,-8,26,34,164,43,24,53
Chrome No Heart,Smoove'L,hip hop,146,67,89,-5,13,88,132,3,46,53
Designer Talk,Lil Tracy,hip hop,118,44,87,-9,11,26,197,2,10,53
Activated,Lil Eazzyy,hip hop,127,51,63,-12,16,66,152,16,35,52
Don't Worry (Clappers),Slimelife Shawty,hip hop,133,41,81,-9,11,21,201,14,37,52
All The Money In The World (feat. Lil Durk),Lil Poppa,hip hop,98,67,72,-6,17,29,148,9,31,52
Wild Child,Noodah05,hip hop,102,50,56,-9,12,31,178,4,31,52
Quicksand,Morray,hip hop,120,67,90,-7,14,56,224,8,31,51
Honey Pack,Bfb Da Packman,hip hop,92,60,75,-8,27,47,198,34,35,51
Big Glock (feat. Shy Glizzy),Trapboy Freddy,hip hop,120,60,96,-9,11,95,136,4,30,51
PSYCHO - from the Crimson Soundtrack,BEAM,hip hop,160,65,82,-8,10,54,147,35,38,51
"50 Bars, Pt. 4",Rah Swish,hip hop,145,86,77,-4,8,67,132,41,34,51
MAYA,PRICE,hip hop,76,69,58,-7,55,78,182,7,13,51
Big Homie (Remix) [feat. King Von & Jackboy],OMB Peezy,hip hop,110,66,80,-5,9,40,209,23,14,51
Sandlot,ssgkobe,hip hop,124,57,88,-9,11,83,132,7,18,50
Alpha,Guapdad 4000,hip hop,100,57,92,-6,10,59,173,15,11,50
Parlay,BFG Straap,hip hop,142,79,92,-3,8,75,121,1,23,50
I.D.F.W (feat. Stunna 4 Vegas),300lbs of Guwop,hip hop,130,62,85,-6,15,45,236,4,17,49
Hands Down,Seddy Hendrinx,hip hop,86,65,62,-6,14,26,158,73,24,48
Broke My Heart (with Kevin Gates),Blacc Zacc,hip hop,150,81,70,-4,11,37,193,24,30,48
Déjà Vu (feat. Guapdad 4000),Deante' Hitchcock,hip hop,139,61,76,-6,17,40,228,17,26,48
Sum Mo (feat. 42 Dugg),Trapboy Freddy,hip hop,77,50,87,-10,6,81,201,8,34,48
What You Need (Kdot),Katori Walker,hip hop,75,55,83,-8,10,48,166,16,38,47
Plug Me In,Deante' Hitchcock,hip hop,135,66,96,-5,9,81,199,41,6,46
Training Day,Dougie F,hip hop,140,42,82,-12,21,28,158,29,23,46
Hoodie Weather,Marlon Craft,hip hop,96,75,80,-7,32,47,131,42,37,45
For Me (feat. Yo Gotti),Rylo Rodriguez,hip hop,128,59,90,-7,8,44,203,3,29,44
Workin,YSB Tril,hip hop,160,61,84,-7,10,79,145,0,25,44
CHROME,Melvoni,hip hop,118,37,87,-10,5,69,151,25,22,44
Netflix,Ron Suno,hip hop,145,76,64,-8,17,84,151,16,32,44
All We Got,Bobby Sessions,hip hop,80,67,74,-7,10,56,229,5,32,44
Do Dirt Alone (feat. Kevin Gates),Rahli,hip hop,128,60,95,-7,11,81,176,3,27,43
Sexy (Remix) - feat. Flo Milli,JoeVille,hip hop,122,65,84,-7,8,50,228,1,19,43
Yano,Foogiano,hip hop,146,64,89,-6,7,65,145,11,34,42
Scared,Kembe X,hip hop,138,63,82,-6,16,38,196,14,12,41
Cartis,King Combs,hip hop,146,47,66,-6,16,11,161,1,3,41
Tennis,Blacc Zacc,hip hop,161,72,72,-4,20,61,215,21,15,40
The Playas Club,Heavy Steppers,hip hop,95,68,93,-7,29,39,135,1,24,39
Jumpstart,Wesson Desir,hip hop,130,42,90,-7,11,53,153,55,8,39
T.H.U.G.,Jucee Froot,hip hop,175,52,70,-8,12,22,199,15,33,39
Taught Different,EST Gee,hip hop,176,63,84,-8,20,24,199,2,28,35
What You Know Bout Love,Pop Smoke,pop,84,55,71,-8,13,54,160,65,35,95
Holy (feat. Chance The Rapper),Justin Bieber,pop,87,70,67,-8,9,37,212,20,36,95
Lonely (with benny blanco),Justin Bieber,pop,80,24,63,-7,12,9,149,86,4,92
Wonder,Shawn Mendes,pop,140,64,33,-5,15,13,173,13,6,92
Put Your Records On,Ritt Momney,pop,91,49,40,-11,11,15,210,6,5,92
34+35,Ariana Grande,pop,110,59,83,-6,25,49,174,24,9,87
Levitating (feat. DaBaby),Dua Lipa,pop,103,83,70,-4,7,92,203,1,6,87
Diamonds,Sam Smith,pop,104,67,65,-7,11,56,214,15,4,87
Golden,Harry Styles,pop,140,84,45,-5,13,25,209,21,6,86
Deep End,Fousheé,pop,125,59,71,-7,16,54,141,76,23,86
motive (with Doja Cat),Ariana Grande,pop,117,74,79,-6,17,66,168,7,7,85
SO DONE,The Kid LAROI,pop,143,60,72,-6,12,30,127,23,8,84
positions,Ariana Grande,pop,144,80,74,-5,9,68,172,47,9,84
just like magic,Ariana Grande,pop,128,61,72,-5,13,46,150,8,17,83
The Business,Tiësto,pop,120,62,80,-7,11,24,164,41,23,83
"Baby, I'm Jealous (feat. Doja Cat)",Bebe Rexha,pop,98,87,74,-2,32,51,176,4,5,83
Blueberry Eyes (feat. SUGA of BTS),MAX,pop,150,61,75,-7,13,41,172,45,10,83
At My Worst,Pink Sweat$,pop,92,42,81,-6,13,67,170,78,3,82
Spicy (feat. Post Malone),Ty Dolla $ign,pop,100,50,78,-6,11,13,144,14,4,82
Fake,Lauv,pop,83,66,70,-5,9,46,146,14,8,82
Papi Chulo,Octavian,pop,128,56,87,-7,9,31,162,19,11,82
forget me too (feat. Halsey),Machine Gun Kelly,pop,100,88,65,-5,19,52,172,0,7,82
BICHOTA,KAROL G,pop,164,67,86,-4,10,84,179,21,15,82
Lasting Lover,Sigala,pop,126,79,68,-5,9,48,218,20,5,82
PRACTICE,DaBaby,pop,142,54,85,-7,13,31,123,2,35,81
Fallin’ (Adrenaline),Why Don't We,pop,134,90,61,-5,8,23,217,1,12,80
Sweet Melody,Little Mix,pop,120,82,45,-4,11,42,214,7,6,80
Your Man,Joji,pop,118,82,79,-9,15,5,164,62,10,80
Hate The Way (feat. blackbear),G-Eazy,pop,82,87,57,-4,31,36,214,7,27,79
Fever,Dua Lipa,pop,115,69,87,-7,11,40,157,6,18,78
Chasing_(Demo),NF,pop,139,9,50,-19,13,30,182,95,13,77
i miss u (with Au/Ra),Jax Jones,pop,124,73,67,-8,13,45,172,4,5,77
Let Me Love You Like A Woman,Lana Del Rey,pop,128,25,40,-12,12,15,201,97,6,77
Not a Pop Song,Little Mix,pop,139,65,62,-5,8,36,179,28,4,77
Too Much (feat. Usher),Marshmello,pop,126,89,71,-3,26,74,166,0,4,76
All We Got (feat. KIDDO),Robin Schulz,pop,184,76,50,-4,15,64,190,29,4,76
heart won't let me,LANY,pop,136,66,61,-8,11,26,200,26,3,76
Nightlight,ILLENIUM,pop,150,65,49,-4,10,16,222,8,4,76
Paradise (feat. Dermot Kennedy),MEDUZA,pop,124,60,63,-8,21,44,168,7,4,75
I'm Not Mad,Halsey,pop,150,68,78,-6,11,73,173,17,6,75
Lie Like This,Julia Michaels,pop,121,69,74,-6,7,85,218,14,5,74
Giants,Dermot Kennedy,pop,158,83,57,-5,13,59,177,1,8,74
In Your Eyes (feat. Kenny G) - Remix,The Weeknd,pop,100,79,61,-4,7,53,257,0,4,74
Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,pop,125,83,80,-5,12,60,157,2,19,74
Not Another Love Song,Ella Mai,pop,157,61,50,-6,10,22,218,17,13,74
Inside Out (feat. Griff),Zedd,pop,146,68,64,-4,11,40,186,17,4,73
24 (feat. Lil Baby),Money Man,pop,126,64,87,-8,9,46,183,15,7,73
Still Have Me,Demi Lovato,pop,76,46,28,-7,11,37,203,50,7,73
A Little Bit Yours,JP Saxe,pop,87,30,60,-9,11,31,226,74,3,73
Kids Again,Sam Smith,pop,128,73,67,-3,9,47,208,49,3,72
Never Change (feat. Future),Trippie Redd,pop,155,75,35,-6,19,61,174,12,16,72
say it over (feat. Cautious Clay),Ruel,pop,156,32,44,-11,61,15,239,57,4,72
Tonight (feat. iann dior),jxdn,pop,165,63,50,-7,35,46,136,0,5,72
I Hope (feat. Charlie Puth),Gabby Barrett,pop,75,58,55,-6,16,41,210,17,4,72
WOW (feat. Sabrina Carpenter) - Remix,Zara Larsson,pop,77,74,70,-4,9,31,180,47,9,72
cowboy in LA,LANY,pop,178,39,62,-9,12,73,214,41,3,72
Cigarettes On Patios,BabyJake,pop,140,71,75,-5,14,59,208,26,5,71
cotton candy,YUNGBLUD,pop,124,93,63,-3,9,70,167,1,7,71
Lie,Sasha Sloan,pop,104,48,72,-7,12,29,209,39,4,71
Dancing in My Room,347aidan,pop,120,41,98,-11,21,74,180,66,11,70
Paper Thin,ILLENIUM,pop,156,78,56,-4,16,75,197,0,9,70
Bitter (feat. Trevor Daniel),FLETCHER,pop,136,64,69,-6,13,41,195,24,7,70
off the table (with The Weeknd),Ariana Grande,pop,101,52,56,-7,40,39,240,51,7,69
First Time,Daya,pop,102,63,55,-7,40,67,147,70,29,69
distance,Ruel,pop,149,33,56,-9,56,50,179,50,16,69
Heat Waves,Glass Animals,pop,81,53,76,-7,9,53,239,44,9,69
Stuck In The Middle,Tai Verdes,pop,120,50,87,-9,9,85,196,37,5,69
Hell and High Water (feat. Alessia Cara),Major Lazer,pop,170,77,47,-6,18,42,145,37,26,68
wisdom teeth,Bea Miller,pop,97,56,75,-6,15,41,181,6,15,68
Producer Man,Lyn Lapid,pop,174,64,66,-5,26,75,142,13,22,67
Looking For Me,Paul Woolford,pop,121,53,64,-12,8,45,211,0,3,67
The Bakery,Melanie Martinez,pop,102,56,91,-6,8,51,155,13,7,67
Plain (feat. Lily Allen & Flo Milli),BENEE,pop,123,55,83,-6,9,82,232,27,7,66
Can't Wait To Be Dead,FINNEAS,pop,100,44,72,-8,10,32,176,1,3,66
So Sick (feat. blackbear),Kiiara,pop,118,54,75,-7,51,39,151,15,6,66
pov,Ariana Grande,pop,132,53,47,-6,10,17,202,36,6,65
THE END,Alesso,pop,103,71,64,-4,14,61,206,2,3,65
you broke me first - Gryffin Remix,Tate McRae,pop,124,80,57,-6,16,23,216,36,4,65
FEEL SOMETHING DIFFERENT,Bea Miller,pop,125,71,78,-5,24,37,207,12,9,65
blind,ROLE MODEL,pop,150,66,77,-5,9,69,153,14,7,65
No Other Way,SHAED,pop,114,69,74,-5,30,97,148,5,4,63
THICK (feat. Megan Thee Stallion) - Remix,DJ Chose,pop,145,75,88,-6,27,68,205,3,37,61
Rather Be You,Tom Gregory,pop,89,71,75,-4,17,60,173,18,4,61
Kill Me Better,Don Diablo,pop,80,78,51,-3,13,53,194,11,4,56
Forever After All,Luke Combs,country,152,65,49,-5,9,46,233,19,3,85
Starting Over,Chris Stapleton,country,89,54,64,-8,7,32,240,45,3,76
Better Than We Found It,Maren Morris,country,170,57,38,-5,17,23,197,11,3,72
Hate You Like I Love You,Granger Smith,country,115,67,66,-6,13,81,174,4,3,70
Things I Can't Say (feat. Julia Cole),Spencer Crandall,country,80,80,62,-4,11,94,165,1,5,70
Nothing's Better,Filmore,country,110,52,80,-5,36,95,193,7,4,70
Gone Too Soon,Andrew Jannakos,country,120,72,53,-6,36,46,169,2,4,70
Hell Of A View,Eric Church,country,99,58,69,-7,10,88,175,12,2,70
Things A Man Oughta Know,Lainey Wilson,country,140,67,66,-6,13,36,206,52,3,69
Good Taste,Levi Hummon,country,96,69,66,-6,11,74,158,0,4,68
Thought This Through,Josh Kerr,country,100,69,79,-7,10,71,173,56,4,68
Dirt Road,Kidd G,country,140,51,79,-8,13,17,151,52,7,68
F-150,Robyn Ottolini,country,147,67,37,-6,11,46,169,5,5,66
Mercury Rising,Tezza,country,110,84,64,-4,15,55,162,29,5,65
Palm Reader,Christie Huff,country,189,42,40,-6,12,20,256,75,4,64
If It Wasn’t For Trucks,Riley Green,country,152,81,44,-6,16,17,197,0,4,64
We Go Together Like,Abby Anderson,country,100,82,62,-5,14,61,164,17,3,63
Good Die Young,Koe Wetzel,country,118,70,60,-6,6,53,166,4,4,63
Down To One,Luke Bryan,country,94,78,62,-4,11,55,222,36,4,63
